czas [s]	T2 [C]	T3 [C]	T4 [C]	T6 [C]	T8 [C]
346.000000	124.560000	67.800000	40.240000	22.300000	23.450000
347.000000	124.740000	68.800000	39.400000	22.290000	23.060000
348.000000	126.100000	68.130000	38.900000	23.430000	23.180000
349.000000	126.040000	69.640000	39.860000	22.540000	23.800000
350.000000	124.910000	69.150000	39.900000	22.000000	23.980000
351.000000	124.800000	68.610000	40.730000	23.450000	24.120000
352.000000	125.920000	69.150000	39.980000	22.650000	23.600000
353.000000	125.820000	68.640000	40.180000	22.840000	22.580000
354.000000	125.670000	68.920000	40.680000	23.330000	23.500000
355.000000	125.730000	69.660000	40.940000	22.860000	22.290000
356.000000	126.410000	70.280000	39.520000	21.880000	23.000000
357.000000	126.010000	70.210000	41.060000	23.200000	22.520000
358.000000	126.490000	69.810000	39.930000	23.220000	22.420000
359.000000	127.970000	70.250000	39.970000	22.870000	23.970000
360.000000	126.710000	69.880000	40.650000	22.280000	23.860000
361.000000	126.490000	71.240000	40.730000	23.400000	22.370000
362.000000	127.430000	70.950000	41.440000	22.080000	23.190000
363.000000	127.710000	70.600000	41.760000	22.050000	22.580000
364.000000	128.230000	71.560000	41.740000	21.630000	23.580000
365.000000	127.210000	71.820000	40.900000	23.060000	23.860000
366.000000	127.480000	71.660000	41.530000	23.180000	23.950000
367.000000	128.950000	71.260000	40.830000	22.020000	23.550000
368.000000	128.200000	72.370000	42.240000	22.070000	22.510000
369.000000	128.780000	72.490000	41.750000	23.480000	22.950000
370.000000	128.650000	71.910000	41.140000	22.070000	23.210000
371.000000	129.710000	71.050000	41.260000	22.600000	22.400000
372.000000	129.270000	71.410000	41.090000	22.500000	23.750000
373.000000	128.710000	72.390000	42.830000	22.970000	22.450000
374.000000	129.840000	71.570000	42.620000	22.680000	23.030000
375.000000	130.120000	72.280000	41.940000	23.480000	23.000000
376.000000	129.760000	72.970000	41.620000	22.380000	22.810000
377.000000	129.160000	72.050000	42.870000	23.360000	22.250000
378.000000	130.490000	72.910000	43.060000	22.030000	23.250000
379.000000	130.530000	73.140000	41.850000	22.540000	23.740000
380.000000	130.360000	73.330000	42.610000	22.430000	24.070000
381.000000	129.780000	72.890000	42.790000	22.560000	23.410000
382.000000	131.380000	72.700000	41.950000	23.220000	22.930000
383.000000	131.350000	74.570000	42.530000	22.150000	23.090000
384.000000	130.790000	74.420000	42.890000	22.740000	23.190000
385.000000	130.370000	73.840000	43.020000	21.770000	23.040000
386.000000	131.360000	73.190000	44.040000	22.930000	23.220000
387.000000	131.940000	74.510000	43.220000	21.830000	23.670000
388.000000	130.720000	73.740000	42.730000	23.610000	23.250000
389.000000	132.480000	74.070000	42.850000	22.630000	22.440000
390.000000	131.530000	73.600000	42.680000	23.560000	22.190000
391.000000	133.040000	74.650000	42.750000	23.540000	23.220000
392.000000	131.910000	75.650000	43.060000	21.670000	22.890000
393.000000	132.760000	75.480000	43.290000	23.460000	22.530000
394.000000	133.050000	75.730000	44.390000	23.160000	22.510000
395.000000	132.360000	75.300000	44.360000	22.000000	23.670000
396.000000	133.180000	75.370000	44.350000	21.680000	23.270000
397.000000	132.630000	75.710000	43.620000	22.560000	22.160000
398.000000	133.140000	76.270000	43.670000	22.870000	23.940000
399.000000	133.410000	75.180000	44.770000	22.090000	22.150000
400.000000	132.990000	76.360000	44.910000	22.060000	22.270000
401.000000	134.090000	75.070000	43.960000	22.970000	22.720000
402.000000	132.820000	75.570000	44.820000	21.880000	22.540000
403.000000	133.810000	75.510000	44.410000	22.210000	22.560000
404.000000	134.000000	76.540000	43.930000	22.420000	23.200000
405.000000	134.060000	76.600000	45.470000	23.300000	22.730000
406.000000	133.720000	76.090000	44.400000	22.800000	23.010000
407.000000	133.860000	77.720000	45.130000	22.980000	23.080000
408.000000	133.920000	76.040000	44.910000	22.110000	23.630000
409.000000	134.290000	76.620000	45.160000	22.770000	22.160000
410.000000	135.630000	77.020000	44.770000	21.850000	22.880000
411.000000	135.030000	77.090000	44.620000	23.600000	23.530000
412.000000	134.840000	76.730000	44.560000	22.010000	23.760000
413.000000	134.950000	77.270000	45.200000	22.330000	22.560000
414.000000	134.920000	78.590000	45.230000	22.150000	22.980000
415.000000	135.450000	78.730000	45.200000	23.600000	22.450000
416.000000	136.560000	77.370000	45.370000	23.770000	22.320000
417.000000	136.380000	78.190000	45.850000	22.010000	22.350000
418.000000	135.080000	78.140000	45.200000	22.050000	22.490000
419.000000	135.700000	78.700000	45.420000	23.180000	23.910000
420.000000	135.540000	79.390000	46.950000	22.260000	22.360000
421.000000	136.950000	78.660000	45.650000	22.210000	23.510000
422.000000	137.260000	78.100000	45.930000	23.460000	23.960000
423.000000	136.450000	78.770000	46.000000	22.020000	22.970000
424.000000	136.080000	78.980000	45.680000	22.470000	22.200000
425.000000	137.260000	79.430000	46.370000	23.580000	24.100000
426.000000	138.190000	79.270000	45.710000	23.430000	22.160000
427.000000	138.020000	80.120000	46.740000	22.930000	23.730000
428.000000	138.030000	79.190000	46.340000	23.030000	23.330000
429.000000	137.160000	78.870000	46.570000	22.340000	23.150000
430.000000	138.320000	78.820000	47.710000	23.740000	22.240000
431.000000	138.050000	79.650000	47.810000	24.170000	22.270000
432.000000	138.220000	80.660000	47.110000	23.430000	23.590000
433.000000	137.630000	79.980000	47.990000	22.610000	22.280000
434.000000	138.580000	79.820000	47.670000	22.530000	23.550000
435.000000	137.470000	80.800000	47.770000	23.110000	23.300000
436.000000	138.480000	79.810000	47.750000	23.700000	23.210000
437.000000	138.620000	81.650000	47.600000	24.080000	23.480000
438.000000	139.860000	81.590000	48.280000	23.390000	23.230000
439.000000	139.300000	81.240000	47.170000	23.630000	24.130000
440.000000	138.780000	80.450000	48.180000	23.410000	23.950000
441.000000	138.420000	80.450000	48.150000	23.910000	22.850000
442.000000	139.690000	81.680000	48.910000	22.890000	23.110000
443.000000	139.850000	80.860000	47.470000	23.240000	22.300000
444.000000	140.560000	80.580000	48.780000	23.320000	23.990000
445.000000	140.710000	81.230000	47.630000	24.310000	22.720000
446.000000	139.380000	81.040000	47.930000	22.930000	22.810000
447.000000	139.270000	82.440000	49.080000	22.930000	23.640000
448.000000	140.760000	81.990000	47.990000	23.210000	22.610000
449.000000	139.550000	82.940000	49.390000	23.520000	22.580000
450.000000	139.570000	82.530000	47.920000	23.540000	23.910000
451.000000	139.760000	83.020000	48.970000	23.790000	22.910000
452.000000	140.310000	83.240000	49.360000	23.870000	22.860000
453.000000	141.010000	82.140000	48.060000	24.680000	22.230000
454.000000	141.450000	83.400000	48.280000	23.420000	22.530000
455.000000	141.530000	83.020000	49.090000	24.710000	22.950000
456.000000	141.630000	83.110000	50.200000	23.670000	23.300000
457.000000	141.700000	82.690000	48.700000	23.250000	23.080000
